id,城市id,名称,,
129126,232,西丰县,,
129330,232,昌图县,,
129865,232,调兵山市,,
129934,232,开原市,,
130253,258,双塔区,,
130371,258,龙城区,,
130471,258,朝阳县,,
130799,258,建平县,,
131121,258,喀喇沁左翼蒙古族自治县,,
131346,258,北票市,,
131681,258,凌源市,,
131991,120,连山区,,
132223,120,龙港区,,
132316,120,南票区,,
132493,120,绥中县,,
132822,120,建昌县,,
133138,120,兴城市,,
133432,13,南关区,,
133574,13,宽城区,,
133748,13,朝阳区,,
133852,13,二道区,,
134008,13,绿园区,,
134114,13,双阳区,,
134275,13,农安县,,
134667,13,九台区,,
134960,13,榆树市,,
135393,13,德惠市,,
135725,90,昌邑区,,
135938,90,龙潭区,,
136121,90,船营区,,
136246,90,丰满区,,
136375,90,永吉县,,
136543,90,蛟河市,,
136842,90,桦甸市,,
137032,90,舒兰市,,
137292,90,磐石市,,
137610,241,铁西区,,
137677,241,铁东区,,
137788,241,梨树县,,
138157,241,伊通满族自治县,,
138374,241,公主岭市,,
138881,241,双辽市,,
139137,287,龙山区,,
139193,287,西安区,,
139231,287,东丰县,,
139485,287,东辽县,,
139755,227,东昌区,,
139818,227,二道江区,,
139870,227,通化县,,
140071,227,辉南县,,
140239,227,柳河县,,
140502,227,梅河口市,,
140857,227,集安市,,
141026,274,浑江区,,
141141,274,江源区,,
141241,274,抚松县,,
141426,274,靖宇县,,
141563,274,长白朝鲜族自治县,,
141661,274,临江市,,
141786,238,宁江区,,
141997,238,前郭尔罗斯蒙古族自治县,,
142304,238,长岭县,,
142591,238,乾安县,,
142787,238,扶余市,,
143217,176,洮北区,,
143476,176,镇赉县,,
143664,176,通榆县,,
143883,176,洮南市,,
144157,176,大安市,,
144446,196,延吉市,,
144602,196,图们市,,
144681,196,敦化市,,
145120,196,珲春市,,
145301,196,龙井市,,
145410,196,和龙市,,
145555,196,汪清县,,
145880,196,安图县,,
146126,23,道里区,,
146311,23,南岗区,,
146500,23,道外区,,
146695,23,平房区,,
146742,23,松北区,,
146830,23,香坊区,,
147017,23,呼兰区,,
147252,23,阿城区,,
147484,23,依兰县,,
147664,23,方正县,,
147769,23,宾县,,
147982,23,巴彦县,,
148158,23,木兰县,,
148276,23,通河县,,
148449,23,延寿县,,
148600,23,双城区,,
148956,23,尚志市,,
149209,23,五常市,,
149534,148,龙沙区,,
149582,148,建华区,,
149622,148,铁锋区,,
149690,148,昂昂溪区,,
149730,148,富拉尔基区,,
149781,148,碾子山区,,
149816,148,梅里斯达斡尔族区,,
149881,148,龙江县,,
150065,148,依安县,,
150276,148,泰来县,,
150405,148,甘南县,,
150550,148,富裕县,,
150669,148,克山县,,
150838,148,克东县,,
150972,148,拜泉县,,
151181,148,讷河市,,
151416,216,鸡冠区,,
151483,216,恒山区,,
151538,216,滴道区,,
151583,216,梨树区,,
151612,216,城子河区,,
151653,216,麻山区,,
151676,216,鸡东县,,
151846,216,虎林市,,
152076,216,密山市,,
152330,324,向阳区,,
152353,324,工农区,,
152378,324,南山区,,
152410,324,兴安区,,
152445,324,东山区,,
152524,324,兴山区,,
152545,324,萝北县,,
152735,324,绥滨县,,
152912,330,尖山区,,
152966,330,岭东区,,
153005,330,四方台区,,
153041,330,宝山区,,
153087,330,集贤县,,
153308,330,友谊县,,
153408,330,宝清县,,
153640,330,饶河县,,
153812,97,萨尔图区,,
153868,97,龙凤区,,
153925,97,让胡路区,,
154015,97,红岗区,,
154060,97,大同区,,
154158,97,肇州县,,
154290,97,肇源县,,
154473,97,林甸县,,
154581,97,杜尔伯特蒙古族自治县,,
154701,306,伊春区,,
154750,306,南岔区,,
154840,306,友好区,,
154887,306,西林区,,
154902,306,翠峦区,,
154932,306,新青区,,
154971,306,美溪区,,
155009,306,金山屯区,,
155045,306,五营区,,
155077,306,乌马河区,,
155114,306,汤旺河区,,
155157,306,带岭区,,
155193,306,乌伊岭区,,
155227,306,红星区,,
155257,306,上甘岭区,,
155291,306,嘉荫县,,
155397,306,铁力市,,
155575,200,向阳区,,
155663,200,前进区,,
155688,200,东风区,,
155751,200,郊区,,
155932,200,桦南县,,
156199,200,桦川县,,
156335,200,汤原县,,
156523,200,抚远市,,
156637,200,同江市,,
156812,200,富锦市,,
157191,326,新兴区,,
157309,326,桃山区,,
157356,326,茄子河区,,
157443,326,勃利县,,
157620,139,东安区,,
157667,139,阳明区,,
157770,139,爱民区,,
157817,139,西安区,,
157902,139,东宁市,,
158055,139,林口县,,
158295,139,绥芬河市,,
158327,139,海林市,,
158560,139,宁安市,,
158882,139,穆棱市,,
159120,230,爱辉区,,
159289,230,嫩江县,,
159564,230,逊克县,,
159679,230,孙吴县,,
159818,230,北安市,,
159984,230,五大连池市,,
160234,311,北林区,,
160448,311,望奎县,,
160591,311,兰西县,,
160728,311,青冈县,,
160956,311,庆安县,,
161088,311,明水县,,
161222,311,绥棱县,,
161388,311,安达市,,
161558,311,肇东市,,
161814,311,海伦市,,
162135,297,呼玛县,,
162203,297,塔河县,,
162237,297,漠河县,,
162274,1,黄浦区,,
162474,1,徐汇区,,
162797,1,长宁区,,
162992,1,静安区,,
163071,1,普陀区,,
163335,1,静安区,,
163556,1,虹口区,,
163791,1,杨浦区,,
164123,1,闵行区,,
164677,1,宝山区,,
165149,1,嘉定区,,
165456,1,浦东新区,,
166702,1,金山区,,
166926,1,松江区,,
167221,1,青浦区,,
167508,1,奉贤区,,
167805,1,崇明区,,
168171,7,玄武区,,
168238,7,秦淮区,,
168365,7,建邺区,,
168440,7,鼓楼区,,
168575,7,浦口区,,
168717,7,栖霞区,,
168878,7,雨花台区,,
168975,7,江宁区,,
169193,7,六合区,,
169368,7,溧水区,,
169498,7,高淳区,,
169660,17,崇安区,,
169706,17,南长区,,
169769,17,北塘区,,
169832,17,锡山区,,
169958,17,惠山区,,
170089,17,滨湖区,,
170357,17,江阴市,,
170683,17,宜兴市,,
171020,54,鼓楼区,,
171146,54,云龙区,,
171228,54,贾汪区,,
171391,54,泉山区,,
171520,54,铜山区,,
171895,54,丰县,,
172327,54,沛县,,
172741,54,睢宁县,,
173164,54,新沂市,,
173450,54,邳州市,,
173981,35,天宁区,,
174089,35,钟楼区,,
174190,35,戚墅堰区,,
174211,35,新北区,,
174335,35,武进区,,
174689,35,溧阳市,,
174945,35,金坛区,,
175152,14,虎丘区,,
175259,14,吴中区,,
175474,14,相城区,,
175631,14,姑苏区,,
175931,14,吴江区,,
176254,14,常熟市,,
176593,14,张家港市,,
176885,14,昆山市,,
177203,14,太仓市,,
177358,41,崇川区,,
177526,41,港闸区,,
177598,41,通州区,,
177894,41,海安县,,
178142,41,如东县,,
178425,41,启东市,,
178771,41,如皋市,,
179149,41,海门市,,
179481,75,连云区,,
179604,75,海州区,,
179742,75,海州区,,
179838,75,赣榆区,,
180328,75,东海县,,
180678,75,灌云县,,
181057,75,灌南县,,
181308,93,清河区,,
181421,93,淮安区,,
181800,93,淮阴区,,
182084,93,清浦区,,
182185,93,涟水县,,
182590,93,洪泽区,,
182731,93,盱眙县,,
183010,93,金湖县,,
183178,95,亭湖区,,
183424,95,盐都区,,
183710,95,响水县,,
183886,95,滨海县,,
184232,95,阜宁县,,
184590,95,射阳县,,
184887,95,建湖县,,
185149,95,东台市,,
185607,95,大丰区,,
185897,38,广陵区,,
186047,38,邗江区,,
186299,38,江都区,,
186647,38,宝应县,,
186946,38,仪征市,,
187159,38,高邮市,,
187407,53,京口区,,
187545,53,润州区,,
187627,53,丹徒区,,
187729,53,丹阳市,,
187944,53,扬中市,,
188032,53,句容市,,
188239,92,海陵区,,
188432,92,高港区,,
188546,92,姜堰区,,
188887,92,兴化市,,
189605,92,靖江市,,
189865,92,泰兴市,,
190247,223,宿城区,,
190511,223,宿豫区,,
190713,223,沭阳县,,
191235,223,泗阳县,,
191509,223,泗洪县,,
191867,10,上城区,,
191928,10,下城区,,
192011,10,江干区,,
192197,10,拱墅区,,
192303,10,西湖区,,
192512,10,滨江区,,
192567,10,萧山区,,
193191,10,余杭区,,
193544,10,桐庐县,,
193763,10,淳安县,,
194224,10,建德市,,
194518,10,富阳区,,
194848,10,临安市,,
195180,25,海曙区,,
195265,25,江东区,,
195352,25,江北区,,
195527,25,北仑区,,
195802,25,镇海区,,
195904,25,鄞州区,,
196464,25,象山县,,
197018,25,宁海县,,
197445,25,余姚市,,
197789,25,慈溪市,,
198198,25,奉化区,,
198609,40,鹿城区,,
198826,40,龙湾区,,
199008,40,瓯海区,,
199288,40,洞头区,,
199388,40,永嘉县,,
200344,40,平阳县,,
200995,40,苍南县,,
201889,40,文成县,,
202298,40,泰顺县,,
202624,40,瑞安市,,
203617,40,乐清市,,
204598,45,南湖区,,
204753,45,秀洲区,,
204924,45,嘉善县,,
205085,45,海盐县,,
205230,45,海宁市,,
205471,45,平湖市,,
205635,45,桐乡市,,
205859,76,吴兴区,,
206200,76,南浔区,,
206466,76,德清县,,
206659,76,长兴县,,
206961,76,安吉县,,
207188,47,越城区,,
207563,47,柯桥区,,
207988,47,新昌县,,
208443,47,诸暨市,,
209005,47,上虞区,,
209466,47,嵊州市,,
209984,65,婺城区,,
210688,65,金东区,,
211209,65,武义县,,
211786,65,浦江县,,
212231,65,磐安县,,
212622,65,兰溪市,,
213311,65,义乌市,,
214130,65,东阳市,,
214539,65,永康市,,
215309,162,柯城区,,
215571,162,衢江区,,
215876,162,常山县,,
216246,162,开化县,,
216530,162,龙游县,,
216820,162,江山市,,
217156,68,定海区,,
217330,68,普陀区,,
217481,68,岱山县,,
217585,68,嵊泗县,,
217641,69,椒江区,,
217974,69,黄岩区,,
218565,69,路桥区,,
218902,69,玉环县,,
219231,69,三门县,,
219770,69,天台县,,
220398,69,仙居县,,
221160,69,温岭市,,
222108,69,临海市,,
223162,201,莲都区,,
223576,201,青田县,,
224053,201,缙云县,,
224331,201,遂昌县,,
224562,201,松阳县,,
224998,201,云和县,,
225184,201,庆元县,,
225557,201,景宁畲族自治县,,
225844,201,龙泉市,,
226323,31,瑶海区,,
226478,31,庐阳区,,
226561,31,蜀山区,,
226723,31,包河区,,
